water_mass_pct,methanol_mass_pct,ethanol_mass_pct,m_mol_per_kg,gamma_pitzer,gamma_modified_pitzer
90,5,5,0.07,0.7511,0.7513
90,5,5,0.09,0.7296,0.7299
90,5,5,0.10,0.7204,0.7207
90,5,5,0.20,0.6595,0.6601
90,5,5,0.30,0.6260,0.6266
90,5,5,0.40,0.6045,0.6051
90,5,5,0.50,0.5899,0.5905
90,5,5,0.60,0.5796,0.5802
90,5,5,0.70,0.5723,0.5728
90,5,5,0.80,0.5671,0.5675
90,5,5,0.90,0.5634,0.5638
90,5,5,1.00,0.5609,0.5612
90,5,5,1.10,0.5592,0.5595
90,5,5,1.20,0.5581,0.5584
90,5,5,1.30,0.5576,0.5578
90,5,5,1.40,0.5574,0.5576
90,5,5,1.50,0.5574,0.5577
90,5,5,1.60,0.5577,0.5580
90,5,5,1.70,0.5580,0.5584
90,5,5,1.80,0.5584,0.5588
90,5,5,1.90,0.5588,0.5592
90,5,5,2.00,0.5591,0.5596
80,10,10,0.05,0.7456,0.7453
80,10,10,0.07,0.7133,0.7130
80,10,10,0.09,0.6880,0.6877
80,10,10,0.10,0.6772,0.6769
80,10,10,0.20,0.6053,0.6049
80,10,10,0.30,0.5651,0.5647
80,10,10,0.40,0.5392,0.5388
80,10,10,0.50,0.5213,0.5210
80,10,10,0.60,0.5085,0.5083
80,10,10,0.70,0.4993,0.4992
80,10,10,0.80,0.4925,0.4925
80,10,10,0.90,0.4877,0.4878
80,10,10,1.00,0.4843,0.4845
80,10,10,1.10,0.4820,0.4823
80,10,10,1.20,0.4806,0.4810
80,10,10,1.30,0.4799,0.4803
80,10,10,1.40,0.4798,0.4802
80,10,10,1.50,0.4802,0.4804
80,10,10,1.60,0.4809,0.4810
80,10,10,1.70,0.4819,0.4818
80,10,10,1.80,0.4831,0.4827
80,10,10,1.90,0.4846,0.4837
80,10,10,2.00,0.4861,0.4847
85,10,5,0.05,0.7717,0.7740
85,10,5,0.07,0.7436,0.7465
85,10,5,0.09,0.7217,0.7250
85,10,5,0.10,0.7123,0.7158
85,10,5,0.20,0.6494,0.6541
85,10,5,0.30,0.6134,0.6188
85,10,5,0.40,0.5894,0.5952
85,10,5,0.50,0.5724,0.5784
85,10,5,0.60,0.5597,0.5658
85,10,5,0.70,0.5502,0.5563
85,10,5,0.80,0.5430,0.5490
85,10,5,0.90,0.5375,0.5434
85,10,5,1.00,0.5335,0.5392
85,10,5,1.10,0.5306,0.5361
85,10,5,1.20,0.5287,0.5339
85,10,5,1.30,0.5276,0.5325
85,10,5,1.40,0.5272,0.5318
85,10,5,1.50,0.5275,0.5316
85,10,5,1.60,0.5282,0.5320
85,10,5,1.70,0.5295,0.5329
85,10,5,1.80,0.5312,0.5341
85,10,5,1.90,0.5333,0.5357
85,10,5,2.00,0.5358,0.5377
70,15,15,0.05,0.7414,0.7413
70,15,15,0.07,0.7114,0.7109
70,15,15,0.09,0.6880,0.6871
70,15,15,0.10,0.6780,0.6770
70,15,15,0.20,0.6100,0.6079
70,15,15,0.30,0.5694,0.5670
70,15,15,0.40,0.5408,0.5385
70,15,15,0.50,0.5192,0.5173
70,15,15,0.60,0.5021,0.5007
70,15,15,0.70,0.4884,0.4875
70,15,15,0.80,0.4772,0.4769
70,15,15,0.90,0.4681,0.4682
