component,m,s,e,e_assoc,vol_a,assoc_scheme,z,dielc,d_born,f_solv,MW,source
methanol,1.5255,3.2300,188.90,2899.5,0.035176,2B,0,1,0,1,0.032042,Gross2002 Table1
ethanol,2.3827,3.1771,198.24,2653.4,0.032384,2B,0,1,0,1,0.046069,Gross2002 Table1
1-propanol,2.9997,3.2522,233.40,2276.8,0.015268,2B,0,1,0,1,0.060096,Gross2002 Table1
1-butanol,2.7515,3.6139,259.59,2544.6,0.006692,2B,0,1,0,1,0.074123,Gross2002 Table1
1-pentanol,3.6260,3.4508,247.28,2252.1,0.010319,2B,0,1,0,1,0.08815,Gross2002 Table1
1-hexanol,3.5146,3.6735,262.32,2538.9,0.005747,2B,0,1,0,1,0.102177,Gross2002 Table1
1-heptanol,4.3985,3.5450,253.46,2878.5,0.001155,2B,0,1,0,1,0.116203,Gross2002 Table1
1-octanol,4.3555,3.7145,262.74,2754.8,0.002197,2B,0,1,0,1,0.13023,Gross2002 Table1
1-nonanol,4.6839,3.7292,263.64,2941.9,0.001427,2B,0,1,0,1,0.144257,Gross2002 Table1
2-propanol,3.0929,3.2085,208.42,2253.9,0.024675,2B,0,1,0,1,0.060096,Gross2002 Table1
2-methyl-2-butanol,2.5487,3.9053,266.01,2618.8,0.001863,2B,0,1,0,1,0.08815,Gross2002 Table1
H2O,1.0656,3.0007,366.51,2500.7,0.034868,2B,0,78.09,0,1.5,0.018015,Gross2002 Table1
methylamine,2.3967,2.8906,214.94,684.3,0.095103,2B,0,1,0,1,0.03106,Gross2002 Table1
ethylamine,2.7046,3.1343,221.53,854.7,0.017275,2B,0,1,0,1,0.04509,Gross2002 Table1
1-propylamine,2.4539,3.5347,250.52,1028.1,0.022674,2B,0,1,0,1,0.05911,Gross2002 Table1
2-propylamine,2.5908,3.4777,231.80,932.2,0.021340,2B,0,1,0,1,0.05911,Gross2002 Table1
aniline,2.6607,3.7021,335.47,1351.6,0.074883,2B,0,1,0,1,0.09313,Gross2002 Table1
acetic acid,1.3403,3.8582,211.59,3044.4,0.075550,2B,0,1,0,1,0.060053,Gross2002 Table1
cyclohexane,2.5303,3.8499,278.11,0,0,,0,1,0,1,0.084147,Gross2001 Table2; Gross2002 Table2
butane,2.3316,3.7086,222.88,0,0,,0,1,0,1,0.058123,Gross2001 Table2; Gross2002 Table2
benzene,2.4653,3.6478,287.35,0,0,,0,1,0,1,0.078114,Gross2001 Table2; Gross2002 Table2
ethylbenzene,3.0799,3.7974,287.35,0,0,,0,1,0,1,0.106167,Gross2001 Table2; Gross2002 Table2
