quantity,paper,model_2020,delta,abs_delta
x_water_org,0.4426,0.4210304007267447,-0.021569599273255302,0.021569599273255302
x_butanol_org,0.557,0.5734821460807126,0.016482146080712523,0.016482146080712523
x_nacl_org,4.15e-05,5.834936866453103e-05,1.6849368664531033e-05,1.6849368664531033e-05
x_kcl_org,0.00042,0.0026854062864194736,0.0022654062864194734,0.0022654062864194734
x_water_aq,0.9627,0.9792098057326125,0.016509805732612515,0.016509805732612515
x_butanol_aq,0.0122,0.009560126930890993,-0.0026398730691090076,0.0026398730691090076
x_nacl_aq,0.0076,0.0020741877483900803,-0.00552581225160992,0.00552581225160992
x_kcl_aq,0.0174,0.003540843746834273,-0.013859156253165725,0.013859156253165725
lnf_water_bar,-3.521,-3.5225619294779396,-0.0015619294779396498,0.0015619294779396498
lnf_butanol_bar,-5.088,-5.118954130232197,-0.030954130232196952,0.030954130232196952
lnfpm_kcl_bar,-206.733,-183.3147095915213,23.418290408478697,23.418290408478697
lnfpm_nacl_bar,-224.891,-200.63691397744486,24.25408602255513,24.25408602255513
tpdf_min,,-0.3204445529317127,,
residual_norm,,0.09197127634542601,,
beta_org,,0.06957720600145798,,
beta_aq,,0.930422793998542,,
