quantity,paper,model_2020,model_2025_num
$x_{water}^{(org)}$,0.4426,0.5263835304668656,0.5379174698601334
$x_{butanol}^{(org)}$,0.557,0.47299345688591865,0.43754682764639957
$x_{NaCl}^{(org)}$,4.15e-05,4.7708895759268136e-05,0.0030145859984133157
$x_{KCl}^{(org)}$,0.00042,0.00026380953946169027,0.00925328988833821
$x_{water}^{(aq)}$,0.9627,0.9641420801226697,0.9645391300291247
$x_{butanol}^{(aq)}$,0.0122,0.024441353401753525,0.02545330050093124
$x_{NaCl}^{(aq)}$,0.0076,0.0020422270701308956,0.0018690422805822684
$x_{KCl}^{(aq)}$,0.0174,0.003666055472280503,0.0031347409748535373
$\ln(f_{water}/bar)$,-3.521,-3.513386488092329,-3.506858875019004
$\ln(f_{butanol}/bar)$,-5.088,-5.2455766475298535,-5.305146423782776
"$\ln(f_{\pm,NaCl}/bar)$",-224.891,-199.362658317861,-143.46819935002773
"$\ln(f_{\pm,KCl}/bar)$",-206.733,-183.4194150324898,-129.62813346134885
$\hat g_{feed}$ (J/mol),-27361.317,-13832.224048060903,-12369.190545431244
$\hat g_{eq}$ (J/mol),-27479.86,-13842.336977132585,-12378.03541178274
$\Delta\hat g=\hat g_{eq}-\hat g_{feed}$ (J/mol),-118.543,-10.11292907168172,-8.844866351495511
$\beta_{org}$,,0.054296684454501754,0.056644774517084315
$\beta_{aq}$,,0.9457033155454982,0.9433552254829157
$TPDF_{min}$,,-0.09602858785666055,-0.08003105478490506
Residual norm,,0.054631632761423694,0.04744519072338785
Phase split favored ($\Delta\hat g<0$),,True,True
Water prefers organic ($x_{water}^{org}/x_{water}^{aq}>1$),,False,False
$x_{water}^{org}/x_{water}^{aq}$,,0.5459605397576806,0.5576937763467312
$\eta_{NaCl\to aq}$ (%),,99.86605342201868,91.17028924113933
$\eta_{KCl\to aq}$ (%),,99.58854791926625,84.94393515070556
$\eta_{water\to org}$ (%),,3.0393123890217657,3.2402255209853448
Charge residual org,,2.4223226310264665e-08,4.928003619411592e-08
Charge residual aq,,-1.390754218386081e-09,-2.9590725356132275e-09
Mass-balance max error,,0.0,1.1102230246251565e-16
"$k_{ij}(water,butanol)$ used",,-0.014343900000000007,-0.014343900000000007
"$l_{ij}(water,butanol)$ used",,-0.0044,-0.0044
"$k_{ij}^{hb}(water,butanol)$ used",,0.026,0.026
