source_id,source_doi,table,pressure_kpa,T,P,x_Ethanol,x_H2O,y_Ethanol,y_H2O,use_in_smoke
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,372.3,100000,0.001,0.999,0.014,0.986,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,370.7,100000,0.006,0.994,0.056,0.944,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,368.8,100000,0.015,0.985,0.129,0.871,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,367.3,100000,0.023,0.977,0.184,0.816,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,365.8,100000,0.032,0.968,0.234,0.766,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,363.9,100000,0.044,0.956,0.289,0.711,true
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,362.6,100000,0.054,0.946,0.326,0.674,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,361.4,100000,0.062,0.938,0.358,0.642,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,360.4,100000,0.077,0.923,0.399,0.601,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,358.7,100000,0.099,0.901,0.436,0.564,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,358.4,100000,0.107,0.893,0.448,0.552,true
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,357.5,100000,0.136,0.864,0.480,0.520,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,356.0,100000,0.198,0.802,0.524,0.476,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,355.2,100000,0.228,0.772,0.543,0.457,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,354.7,100000,0.283,0.717,0.571,0.429,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,354.1,100000,0.356,0.644,0.594,0.406,true
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,353.4,100000,0.414,0.586,0.610,0.390,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,353.2,100000,0.460,0.540,0.632,0.368,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,352.6,100000,0.520,0.480,0.659,0.341,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,352.3,100000,0.588,0.412,0.682,0.318,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,351.8,100000,0.690,0.310,0.745,0.255,true
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,351.7,100000,0.722,0.278,0.764,0.236,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,351.5,100000,0.815,0.185,0.834,0.166,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,351.4,100000,0.861,0.139,0.870,0.130,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,351.4,100000,0.921,0.079,0.918,0.082,false
Susial_2021_JCED,10.1021/acs.jced.0c00686,Table 6,100,351.4,100000,0.963,0.037,0.961,0.039,true
